mode,sample_fraction,run,gen,phenotype,phenotype_in_cache,hit,fitness_cached,fitness_full_train,fake_hit,fitness_diff
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],84.74))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],80.46))))",True,0.2850877192982456,0.2850877192982456,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), sub(x[3],mul(x[3],x[5]))))",,False,,0.3333333333333333,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(pdiv(x[0],x[3]),mul(x[2],x[7]))))",,False,,0.293859649122807,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(x[5], sub(add(x[2],x[5]),pdiv(x[5],mul(x[3],x[0])))))",,False,,0.2982456140350877,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[5],x[2]), pdiv(add(mul(x[3],mul(x[3],x[5])),sub(add(x[2],x[5]),pdiv(x[5],mul(x[3],x[0])))),x[5])))",,False,,0.5175438596491229,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(pdiv(x[2],x[7]), mul(x[3],x[7])))",,False,,0.2850877192982456,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[5],x[5])))",,False,,0.4736842105263158,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[5],sub(x[2],mul(mul(x[3],x[2]),x[7]))), x[7]))","not_(greater_than_or_equal(mul(x[2],x[5]), x[7]))",True,0.7017543859649122,0.6929824561403508,True,-0.0087719298245614
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[5],x[2]), x[3]))","not_(greater_than_or_equal(mul(x[5],x[2]), x[3]))",True,0.2850877192982456,0.2850877192982456,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[3],x[5])))",,False,,0.2587719298245614,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],42.84)))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],46.93)))",True,0.2894736842105263,0.2894736842105263,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[0],x[7]), x[2]))",,False,,0.5175438596491229,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[7],x[2]), x[7]))","not_(greater_than_or_equal(mul(x[7],x[2]), x[7]))",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), add(x[7],mul(x[3],mul(x[3],x[5])))))",,False,,0.6973684210526316,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(x[3], mul(x[5],x[2])))",,False,,0.5482456140350878,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],x[7])))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[5],x[0])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[5],x[5])))",True,0.4736842105263158,0.4692982456140351,True,-0.0043859649122807
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2241379310344827,True,-0.0346339987900786
farthest_point,0.1,1,6,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2587719298245614,False,0.0
